trial,D,W,ID,MT,error
0,66,9,3.0588936890535683,1958.7211608886719,0
1,226,75,2.004800986263821,1096.034049987793,0
2,340,113,2.0031882776310477,980.3211688995361,0
3,283,18,4.0636946753173895,1287.264108657837,0
4,264,37,3.0241663111307524,1155.9498310089111,0
5,529,75,3.009586048829198,1008.4209442138672,0
6,283,18,4.0636946753173895,1183.1121444702148,1
7,529,75,3.009586048829198,1128.1490325927734,0
8,264,37,3.0241663111307524,1257.1978569030762,0
9,566,37,4.026560826271135,1379.1618347167969,0
10,226,75,2.004800986263821,849.6365547180176,0
11,113,37,2.019365324866931,995.0501918792725,0
12,566,37,4.026560826271135,1198.4739303588867,0
13,66,9,3.0588936890535683,1611.0615730285645,0
14,264,37,3.0241663111307524,1350.1460552215576,0
15,425,28,4.016012317988631,1586.214542388916,0
16,283,18,4.0636946753173895,1612.6430034637451,0
17,264,37,3.0241663111307524,1166.090726852417,0
18,226,75,2.004800986263821,935.0485801696777,0
19,113,37,2.019365324866931,1116.7607307434082,0
20,425,28,4.016012317988631,1113.637924194336,0
21,226,75,2.004800986263821,867.0566082000732,0
22,66,9,3.0588936890535683,2504.6823024749756,0
23,132,18,3.0588936890535683,1428.293228149414,1
24,66,9,3.0588936890535683,1659.9912643432617,0
25,566,37,4.026560826271135,1940.2620792388916,0
26,529,75,3.009586048829198,1050.7490634918213,0
27,132,18,3.0588936890535683,1534.4090461730957,0
28,340,113,2.0031882776310477,987.6518249511719,0
29,283,18,4.0636946753173895,1115.3485774993896,0
30,66,9,3.0588936890535683,1359.8475456237793,0
31,132,18,3.0588936890535683,1137.9642486572266,1
32,425,28,4.016012317988631,1698.8582611083984,0
33,529,75,3.009586048829198,1129.814863204956,0
34,340,113,2.0031882776310477,902.2355079650879,0
35,453,151,2.0,928.3998012542725,0
36,529,75,3.009586048829198,952.8565406799316,0
37,141,9,4.058893689053568,1351.7186641693115,0
38,113,37,2.019365324866931,1084.235668182373,0
39,425,28,4.016012317988631,1545.290470123291,0
40,132,18,3.0588936890535683,1522.2821235656738,0
41,132,18,3.0588936890535683,1239.5851612091064,0
42,453,151,2.0,1095.9818363189697,0
43,340,113,2.0031882776310477,848.4799861907959,0
44,453,151,2.0,1046.3552474975586,0
45,340,113,2.0031882776310477,1047.3029613494873,0
46,141,9,4.058893689053568,1739.448070526123,0
47,113,37,2.019365324866931,1051.3830184936523,0
48,283,18,4.0636946753173895,1480.6697368621826,0
49,566,37,4.026560826271135,1269.4153785705566,0
50,425,28,4.016012317988631,2258.591890335083,0
51,226,75,2.004800986263821,974.4184017181396,0
52,141,9,4.058893689053568,1666.4655208587646,1
53,566,37,4.026560826271135,1453.8698196411133,0
54,264,37,3.0241663111307524,1804.8436641693115,0
55,141,9,4.058893689053568,1483.8495254516602,0
56,453,151,2.0,1203.5434246063232,0
57,113,37,2.019365324866931,1000.443696975708,0
58,141,9,4.058893689053568,1795.6233024597168,0
59,453,151,2.0,1754.0433406829834,0
